id;tên sách_x;tác giả;quốc gia;năm sáng tác;thể loại;tên sách_y;link Wikipedia;link hình ảnh
1;Dế Mèn phiêu lưu ký;Tô Hoài;Việt Nam;1941;Văn học thiếu nhi;Dế Mèn phiêu lưu ký;https://vi.wikipedia.org/wiki/Dế_Mèn_phiêu_lưu_ký;https:/static/images/icons/wikipedia.png
2;Truyện Kiều;Nguyễn Du;Việt Nam;Trước 1814 hoặc từ 1814-1820;Thơ / Văn học cổ điển;Truyện Kiều;https://vi.wikipedia.org/wiki/Truyện_Kiều;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/%C4%90o%E1%BA%A1n_tr%C6%B0%E1%BB%9Dng_t%C3%A2n_thanh.png/250px-%C4%90o%E1%BA%A1n_tr%C6%B0%E1%BB%9Dng_t%C3%A2n_thanh.png
3;Nỗi buồn chiến tranh;Bảo Ninh;Việt Nam;1987;Tiểu thuyết chiến tranh;Nỗi buồn chiến tranh;https://vi.wikipedia.org/wiki/Nỗi_buồn_chiến_tranh;https://upload.wikimedia.org/wikipedia/vi/thumb/1/11/Noi_buon_chien_tranh.jpg/250px-Noi_buon_chien_tranh.jpg
4;Harry Potter và Hòn đá Phù thủy;J.K. Rowling;Anh;1997;Kỳ ảo;Harry Potter và Hòn đá Phù thủy;https://vi.wikipedia.org/wiki/Harry_Potter_và_Hòn_đá_Phù_thủy;https://upload.wikimedia.org/wikipedia/vi/thumb/5/51/Harry_Potter_v%C3%A0_H%C3%B2n_%C4%91%C3%A1_ph%C3%B9_th%E1%BB%A7y_b%C3%ACa_2003.jpeg/250px-Harry_Potter_v%C3%A0_H%C3%B2n_%C4%91%C3%A1_ph%C3%B9_th%E1%BB%A7y_b%C3%ACa_2003.jpeg
5;1984;George Orwell;Anh;1949;Chính trị/Khoa học xã hội giả tưởng;1984;https://vi.wikipedia.org/wiki/1984_(tiểu_thuyết);https://upload.wikimedia.org/wikipedia/vi/thumb/c/c3/1984first.jpg/250px-1984first.jpg
6;Nhà giả kim;Paulo Coelho;Brasil;1988;Phiêu lưu, tưởng tượng, thần bí;Nhà giả kim;https://vi.wikipedia.org/wiki/Nhà_giả_kim_(tiểu_thuyết);https://upload.wikimedia.org/wikipedia/vi/thumb/9/9c/Nh%C3%A0_gi%E1%BA%A3_kim_%28s%C3%A1ch%29.jpg/250px-Nh%C3%A0_gi%E1%BA%A3_kim_%28s%C3%A1ch%29.jpg
7;Chiến tranh và Hòa bình;Lev Tolstoy;Nga;1869;Lãng mạn, lịch sử, chiến tranh;Chiến tranh và Hòa bình;https://vi.wikipedia.org/wiki/Chiến_tranh_và_Hòa_bình;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Tolstoy_-_War_and_Peace_-_first_edition%2C_1869.jpg/250px-Tolstoy_-_War_and_Peace_-_first_edition%2C_1869.jpg
8;Don Quixote;Miguel de Cervantes;Tây Ban Nha;1605;Châm biếm, tiểu thuyết tâm lý, trào phúng;Don Quixote;https://vi.wikipedia.org/wiki/Don_Quixote;https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Miguel_de_Cervantes_%281605%29_El_ingenioso_hidalgo_Don_Quixote_de_la_Mancha.png/250px-Miguel_de_Cervantes_%281605%29_El_ingenioso_hidalgo_Don_Quixote_de_la_Mancha.png
9;The Great Gatsby;F. Scott Fitzgerald;Mỹ;1925;Tiểu thuyết;The Great Gatsby;https://vi.wikipedia.org/wiki/The_Great_Gatsby;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/40px-Flag_of_the_United_States.svg.png
10;Pride and Prejudice;Jane Austen;Anh;1813;Tiểu thuyết;Pride and Prejudice;https://vi.wikipedia.org/wiki/Pride_and_Prejudice;https:/static/images/icons/wikipedia.png
11;One Hundred Years of Solitude;Gabriel García Márquez;Tây Ban Nha;1967;Hiện thực huyền ảo;One Hundred Years of Solitude;https://en.wikipedia.org/wiki/One_Hundred_Years_of_Solitude;https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/Cien_a%C3%B1os_de_soledad_%28book_cover%2C_1967%29.jpg/250px-Cien_a%C3%B1os_de_soledad_%28book_cover%2C_1967%29.jpg
12;The Catcher in the Rye;J.D. Salinger;Mỹ;1951;Tiểu thuyết/Tâm lý / Thanh xuân;The Catcher in the Rye;https://vi.wikipedia.org/wiki/The_Catcher_in_the_Rye;https://upload.wikimedia.org/wikipedia/vi/thumb/b/b7/B%E1%BA%AFt_tr%E1%BA%BB_%C4%91%E1%BB%93ng_xanh%28s%C3%A1ch%29.jpg/250px-B%E1%BA%AFt_tr%E1%BA%BB_%C4%91%E1%BB%93ng_xanh%28s%C3%A1ch%29.jpg
13;To Kill a Mockingbird;Harper Lee;Mỹ;1960;Xã hội / Nhân quyền;To Kill a Mockingbird;https://vi.wikipedia.org/wiki/To_Kill_a_Mockingbird;https://upload.wikimedia.org/wikipedia/vi/thumb/5/5c/Mockingbirdfirst.JPG/250px-Mockingbirdfirst.JPG
14;Les Misérables ( Những người khốn khổ );Victor Hugo;Pháp;1862;Tiểu thuyết lịch sử;Les Misérables;https://vi.wikipedia.org/wiki/Les_Misérables;https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Ebcosette.jpg/250px-Ebcosette.jpg
